Happiness1 by UK, country, region, UA/ County in England, LADs in England, UAs in Wales, LAs in Scotland, LGDs in Northern Ireland, April 2014 to March 20152,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Per cent in each category on 11 point scale3:;;;;Average (mean) rating;Confidence limits (95%);;;;;;;;;;;;;;;Sample size;;;;;;;;;;;
;;;;Low;Medium;High;Very High;;Low;;;Medium;;;High;;;Very High;;;Average (mean) rating;;;;;;;;;;;;;;
;;;;0-4;5-6;7-8;9-10;;0-4;;;5-6;;;7-8;;;9-10;;;;;;;;;;;;;;;;;
Area Codes;Area names;;;;;;;;CV;Lower limit;Upper limit;CV;Lower limit;Upper limit;CV;Lower limit;Upper limit;CV;Lower limit;Upper limit;CV;Lower limit;Upper limit;;;;;;;;;;;;
E07000139;EAST MIDLANDS;;North Kesteven;x;x;x;x;7,74;x;x;x;x;x;x;x;x;x;x;x;x;3,01;7,27;8,20;160;;;;;;;;;;;
E07000140;EAST MIDLANDS;;South Holland;x;x;x;x;7,15;x;x;x;x;x;x;x;x;x;x;x;x;2,82;6,75;7,56;110;;;;;;;;;;;
E07000141;EAST MIDLANDS;;South Kesteven;x;x;x;x;7,76;x;x;x;x;x;x;x;x;x;x;x;x;1,87;7,48;8,05;220;;;;;;;;;;;
E07000142;EAST MIDLANDS;;West Lindsey;x;x;x;x;7,80;x;x;x;x;x;x;x;x;x;x;x;x;2,73;7,37;8,23;120;;;;;;;;;;;
E10000021;EAST MIDLANDS;Northamptonshire ;;7,91;17,25;39,81;35,03;7,55;12,77;5,93;9,90;7,92;14,56;19,93;4,73;36,11;43,51;5,12;31,51;38,56;1,05;7,39;7,71;960;;;;;;;;;;;
E07000150;EAST MIDLANDS;;Corby;x;x;x;x;7,59;x;x;x;x;x;x;x;x;x;x;x;x;3,77;7,00;8,17;90;;;;;;;;;;;
E07000151;EAST MIDLANDS;;Daventry;x;x;x;x;7,71;x;x;x;x;x;x;x;x;x;x;x;x;2,47;7,32;8,10;80;;;;;;;;;;;
E07000152;EAST MIDLANDS;;East Northamptonshire;x;x;x;x;7,48;x;x;x;x;x;x;x;x;x;x;x;x;3,35;6,97;7,98;140;;;;;;;;;;;
E07000153;EAST MIDLANDS;;Kettering;x;x;x;x;7,56;x;x;x;x;x;x;x;x;x;x;x;x;2,71;7,15;7,97;130;;;;;;;;;;;
E07000154;EAST MIDLANDS;;Northampton;x;x;x;x;7,43;x;x;x;x;x;x;x;x;x;x;x;x;1,79;7,17;7,69;280;;;;;;;;;;;
E07000155;EAST MIDLANDS;;South Northamptonshire;x;x;x;x;7,82;x;x;x;x;x;x;x;x;x;x;x;x;2,53;7,42;8,22;130;;;;;;;;;;;
E07000156;EAST MIDLANDS;;Wellingborough;x;x;x;x;7,50;x;x;x;x;x;x;x;x;x;x;x;x;3,87;6,92;8,09;110;;;;;;;;;;;
